OP_NUMERO;CUIT;PRESTADOR;NRO_DOC;TIPO;REGIMEN;NRO_CERT;MONTO
1-8897;30660567840;CLINICA PRIVADA DE LA CIUDAD SOC RESP;9158784;GA;Locación de obras y servicios;285;4671,65
1-8899;30677558888;PARQUE SALUD S A;9158812;GA;Locación de obras y servicios;286;3139,8
1-8902;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;9158926;GA;Locación de obras y servicios;287;18989,65
1-8903;30689768861;;9158939;GA;Locación de obras y servicios;288;19409,03
1-8904;30694300487;RESONANCIA MAGNETICA SRL;9159172;GA;Locación de obras y servicios;289;38875,57
1-8906;30708069791;CLINICA MEDITERRANEA SALUD S A;9159336;GA;Locación de obras y servicios;290;1064,2
1-8907;30708276878;PROMET S.R.L.;9159406;GA;Locación de obras y servicios;291;26443,04
1-8908;30708686499;AMPARAR S.R.L;9159428;GA;Locación de obras y servicios;292;3475,44
1-8909;30708910208;EL JUNCO SERVICIOS SOCIALES SA;9159448;GA;Locación de obras y servicios;293;15162,46
1-8911;30709290866;GRUPO OPTICO SA;9159484;GA;Locación de obras y servicios;294;3298,68
1-8913;30709956880;SAN FRANCISCO SALUD-CONSORCIO DE;9159620;GA;Locación de obras y servicios;295;80866,19
1-8914;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;9159646;GA;Locación de obras y servicios;296;7519,5
1-8915;30714353493;CEMO S.A.;9159660;GA;Locación de obras y servicios;297;7519,5
1-8916;30715190253;CIDI S.A;9159684;GA;Locación de obras y servicios;298;41722,11
1-8917;30715316338;CENTRO MEDICO ROENTGEN S.R.L.;9159721;GA;Locación de obras y servicios;299;4575,2
1-8918;30715347756;CENTRO MEDICO PRIVADO SAN ANDRES SRL;9159776;GA;Locación de obras y servicios;300;3650,73
1-8920;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;9159816;GA;Locación de obras y servicios;301;24603,52
1-8921;30716784386;SOLBO S.A.S.;9159929;GA;Locación de obras y servicios;302;7547,4
1-8922;30717358909;G.M. AGRUPACION DE COLABORACION.;9159940;GA;Locación de obras y servicios;303;15584,51
1-8924;33711273129;CLINICA PRIVADA SANTA MARIA S.A.;9159979;GA;Locación de obras y servicios;304;6659,87
1-8926;33717029009;LECOUSER S.A.;9160003;GA;Locación de obras y servicios;305;4926,6
1-8934;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;9160290;GA;Locación de obras y servicios;309;744,36
1-8950;30637580961;CIPREM SRL;9163687;GA;Locación de obras y servicios;316;185919,31
1-8125;30708686499;AMPARAR S.R.L;8639120;GA;Locación de obras y servicios;124;73802,96
1-7984;30708686499;AMPARAR S.R.L;8518980;GA;Locación de obras y servicios;77;157791,94
1-7987;30709634964;BARIATRICA S.A.;8519242;GA;Locación de obras y servicios;78;2576,73
1-7988;30715649159;CAMARA DE ENTIDADES DE SALUD - CES;8519400;GA;Locación de obras y servicios;79;239884,64
1-7989;30714353493;CEMO S.A.;8521212;GA;Locación de obras y servicios;80;36874,17
1-7990;30715347756;CENTRO MEDICO PRIVADO SAN ANDRES SRL;8521230;GA;Locación de obras y servicios;81;5135,64
1-7991;30715316338;CENTRO MEDICO ROENTGEN S.R.L.;8521242;GA;Locación de obras y servicios;82;1758,24
1-7992;30574596951;CENTRO PRIVADO TOMOGRAFIA COMPUTADA;8521257;GA;Locación de obras y servicios;83;14493,9
1-7993;30715190253;CIDI S.A;8521295;GA;Locación de obras y servicios;84;13901,25
1-7995;30566278207;CIRCULO MEDICO REGIONAL RIO TERCERO;8521572;GA;Locación de obras y servicios;86;7535,81
1-7996;30708237791;CLINICA PRIVADA DEAN FUNES S.R.L.;8521783;GA;Locación de obras y servicios;87;38607,95
1-7997;30596272165;CLINICA PRIVADA CARAFFA SRL;8521948;GA;Locación de obras y servicios;88;56247,44
1-7998;30682285431;CLINICA PRIVADA COAT S. R. L.;8522004;GA;Locación de obras y servicios;89;3980,88
1-7999;30645574326;CLINICA PRIVADA DE ESPECIALIDADES DE;8522031;GA;Locación de obras y servicios;90;3566,3
1-8001;30660567840;CLINICA PRIVADA DE LA CIUDAD SOC RESP;8522225;GA;Locación de obras y servicios;91;2709,11
1-8002;30615571454;CLINICA PRIVADA DEL SOL S.A.;8522251;GA;Locación de obras y servicios;92;14942,73
1-8003;30608875227;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;8522280;GA;Locación de obras y servicios;93;14070,58
1-8004;30546133865;CLINICA PRIVADA JESUS MARIA DR ANIBAL;8522336;GA;Locación de obras y servicios;94;4050,85
1-8005;30680944691;CLINICA PRIVADA REGIONAL S R L;8522354;GA;Locación de obras y servicios;95;3488,31
1-8007;33711273129;CLINICA PRIVADA SANTA MARIA S.A.;8522455;GA;Locación de obras y servicios;96;15139,96
1-8010;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;8522650;GA;Locación de obras y servicios;97;5176,11
1-8012;30708910208;EL JUNCO SERVICIOS SOCIALES SA;8522733;GA;Locación de obras y servicios;98;4582,01
1-8013;30717147835;ESTIX S.A.S.;8522809;GA;Locación de obras y servicios;99;15545,19
1-8017;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;8522916;GA;Locación de obras y servicios;100;34978,44
1-8018;30709290866;GRUPO OPTICO SA;8522978;GA;Locación de obras y servicios;101;8170,08
1-8019;30698852441;IMAGENES S R L PRIVADO;8523003;GA;Locación de obras y servicios;102;2087,73
1-8020;30659560093;INSTITUTO PRIVADO DE NEONATOLOGIA Y;8523162;GA;Locación de obras y servicios;103;3,96
1-8021;30689768861;;8523219;GA;Locación de obras y servicios;104;2660,0
1-8027;30677558888;PARQUE SALUD S A;8523837;GA;Locación de obras y servicios;105;2998,6
1-8028;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;8523855;GA;Locación de obras y servicios;106;396,19
1-8030;30708276878;PROMET S.R.L.;8523905;GA;Locación de obras y servicios;107;90631,08
1-8031;30694300487;RESONANCIA MAGNETICA SRL;8523948;GA;Locación de obras y servicios;108;5521,11
1-8033;30642081183;ROENTGEN S A;8523987;GA;Locación de obras y servicios;109;5349,35
1-8034;30708890223;SALUD INTEGRAL SOCIEDAD ANONIMA;8524004;GA;Locación de obras y servicios;110;10924,04
1-8035;30709956880;SAN FRANCISCO SALUD-CONSORCIO DE;8524028;GA;Locación de obras y servicios;111;162518,95
1-8037;30545879138;SANATORIO MORRA S A;8524135;GA;Locación de obras y servicios;112;82377,46
1-8039;30715227696;;8524199;GA;Locación de obras y servicios;113;3044,2
1-8040;30716784386;SOLBO S.A.S.;8524297;GA;Locación de obras y servicios;114;7864,79
1-8041;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;8524344;GA;Locación de obras y servicios;115;23484,6
1-8045;30680565224;COSEME SA;8524661;GA;Locación de obras y servicios;116;8424,56
1-8049;30637580961;CIPREM SRL;8543831;GA;Locación de obras y servicios;117;130395,35
1-8051;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;8544430;GA;Locación de obras y servicios;118;37631,83
1-8061;30712053441;GEPREMED S.A.;8578178;GA;Enajenación de bienes muebles y bienes de cambio;120;27370,0
1-8093;30582622945;ERREPAR S. A.;8591191;GA;Locación de obras y servicios;121;8520,74
1-8107;30615571454;CLINICA PRIVADA DEL SOL S.A.;8634513;GA;Locación de obras y servicios;123;326677,16
1-8128;30715649159;CAMARA DE ENTIDADES DE SALUD - CES;8639226;GA;Locación de obras y servicios;125;313735,78
1-8129;30714353493;CEMO S.A.;8639256;GA;Locación de obras y servicios;126;18838,56
1-8130;30715190253;CIDI S.A;8639303;GA;Locación de obras y servicios;127;44707,49
1-8134;30608875227;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;8639964;GA;Locación de obras y servicios;128;84054,26
1-8135;30546133865;CLINICA PRIVADA JESUS MARIA DR ANIBAL;8640051;GA;Locación de obras y servicios;129;5991,62
1-8137;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;8640290;GA;Locación de obras y servicios;130;44243,2
1-8144;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;8640890;GA;Locación de obras y servicios;131;39353,96
1-8146;30689768861;;8640980;GA;Locación de obras y servicios;132;9819,99
1-8147;30659560093;INSTITUTO PRIVADO DE NEONATOLOGIA Y;8641025;GA;Locación de obras y servicios;133;198789,19
1-8148;30716824809;NEUROTEAM S.A.S.;8641078;GA;Locación de obras y servicios;134;94967,86
1-8149;30716361833;OMED MEDICINA PRIVADA SOCIEDAD DE;8641807;GA;Locación de obras y servicios;135;4140,04
1-8152;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;8641827;GA;Locación de obras y servicios;136;28185,89
1-8153;30694300487;RESONANCIA MAGNETICA SRL;8641837;GA;Locación de obras y servicios;137;11170,6
1-8154;30642081183;ROENTGEN S A;8641877;GA;Locación de obras y servicios;138;8411,92
1-8155;30708890223;SALUD INTEGRAL SOCIEDAD ANONIMA;8641887;GA;Locación de obras y servicios;139;2345,06
1-8156;30709956880;SAN FRANCISCO SALUD-CONSORCIO DE;8641905;GA;Locación de obras y servicios;140;93652,77
1-8157;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;8641920;GA;Locación de obras y servicios;141;223887,63
1-8158;33680935349;SANATORIO PRIVADO GATTI S R L;8641923;GA;Locación de obras y servicios;142;6330,34
1-8159;30715227696;;8641924;GA;Locación de obras y servicios;143;4605,6
1-8160;30716784386;SOLBO S.A.S.;8641928;GA;Locación de obras y servicios;144;43185,93
1-8161;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;8641939;GA;Locación de obras y servicios;145;16028,6
1-8173;30708069791;CLINICA MEDITERRANEA SALUD S A;8641966;GA;Locación de obras y servicios;149;1070,84
1-8184;30680565224;COSEME SA;8642462;GA;Locación de obras y servicios;151;10509,49
1-8227;30637580961;CIPREM SRL;8646582;GA;Locación de obras y servicios;152;422989,84
1-8235;33680935349;SANATORIO PRIVADO GATTI S R L;8672099;GA;Locación de obras y servicios;153;12786,68
1-8246;30645189988;SERVICIOS MEDICOS S R L;8689817;GA;Locación de obras y servicios;154;523307,7
1-8262;30709634964;BARIATRICA S.A.;8737180;GA;Locación de obras y servicios;157;868,75
1-8265;30715347756;CENTRO MEDICO PRIVADO SAN ANDRES SRL;8737383;GA;Locación de obras y servicios;189;3904,48
1-8266;30669128351;CENTRO PRIVADO DE R M I RIO CUARTO S A;8737402;GA;Locación de obras y servicios;160;1006,22
1-8316;30712198709;GESTSAL S.R.L.;8766499;GA;Enajenación de bienes muebles y bienes de cambio;183;76720,0
1-8346;30689768861;;8780105;GA;Locación de obras y servicios;184;5108,38
1-8347;30637580961;CIPREM SRL;8780157;GA;Locación de obras y servicios;185;311026,94
1-8348;30596272165;CLINICA PRIVADA CARAFFA SRL;8780174;GA;Locación de obras y servicios;186;24064,63
1-8349;30645189988;SERVICIOS MEDICOS S R L;8780275;GA;Locación de obras y servicios;187;1040938,38
1-8404;30680565224;COSEME SA;8868028;GA;Locación de obras y servicios;190;4818,59
1-8419;30545996991;CLINICA CHUTRO SRL;8884038;GA;Locación de obras y servicios;200;481697,88
1-8441;30708686499;AMPARAR S.R.L;8894301;GA;No Alcanzado;191;107955,56
1-8446;30714353493;CEMO S.A.;8894819;GA;Locación de obras y servicios;192;24268,53
1-8447;30715190253;CIDI S.A;8895510;GA;Locación de obras y servicios;193;27025,89
1-8448;30637580961;CIPREM SRL;8895629;GA;Locación de obras y servicios;194;262832,78
1-8451;30682285431;CLINICA PRIVADA COAT S. R. L.;8895851;GA;Locación de obras y servicios;196;4830,07
1-8452;30645574326;CLINICA PRIVADA DE ESPECIALIDADES DE;8895887;GA;Locación de obras y servicios;197;13415,54
1-8453;30660567840;CLINICA PRIVADA DE LA CIUDAD SOC RESP;8895921;GA;Locación de obras y servicios;198;27304,35
1-8455;30546133865;CLINICA PRIVADA JESUS MARIA DR ANIBAL;8896369;GA;Locación de obras y servicios;201;9233,8
1-8456;33711273129;CLINICA PRIVADA SANTA MARIA S.A.;8896701;GA;Locación de obras y servicios;202;6343,91
1-8459;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;8897178;GA;Locación de obras y servicios;203;35957,85
1-8460;30708910208;EL JUNCO SERVICIOS SOCIALES SA;8897737;GA;Locación de obras y servicios;204;9454,96
1-8461;30717147835;ESTIX S.A.S.;8897880;GA;Locación de obras y servicios;205;3184,12
1-8463;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;8897937;GA;Locación de obras y servicios;206;1640,1
1-8464;30709290866;GRUPO OPTICO SA;8897965;GA;Locación de obras y servicios;207;3722,52
1-8465;30689768861;;8897979;GA;Locación de obras y servicios;208;9619,01
1-8467;30680565224;COSEME SA;8898296;GA;Locación de obras y servicios;209;141758,92
1-8470;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;8898369;GA;Locación de obras y servicios;210;38743,53
1-8471;30659560093;INSTITUTO PRIVADO DE NEONATOLOGIA Y;8898398;GA;Locación de obras y servicios;211;110381,16
1-8472;30694300487;RESONANCIA MAGNETICA SRL;8901857;GA;Locación de obras y servicios;212;26251,45
1-8473;30642081183;ROENTGEN S A;8901941;GA;Locación de obras y servicios;213;16677,16
1-8474;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;8901978;GA;Locación de obras y servicios;214;26888,05
1-8475;30545879138;SANATORIO MORRA S A;8902042;GA;Locación de obras y servicios;215;20968,19
1-8476;30562336237;SANATORIO PARQUE S A;8902229;GA;Locación de obras y servicios;216;41445,04
1-8477;30715227696;;8902277;GA;Locación de obras y servicios;217;3464,6
1-8479;30716784386;SOLBO S.A.S.;8902949;GA;Locación de obras y servicios;218;27456,86
1-8483;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;8903155;GA;Locación de obras y servicios;219;4737,6
1-8484;30703378222;UROLIT SA;8903188;GA;Locación de obras y servicios;220;129080,0
1-8485;30708069791;CLINICA MEDITERRANEA SALUD S A;8905119;GA;Locación de obras y servicios;221;3143,44
1-8486;30708069791;CLINICA MEDITERRANEA SALUD S A;8905144;GA;Locación de obras y servicios;222;1913,02
1-8509;30708276878;PROMET S.R.L.;8910007;GA;Locación de obras y servicios;225;40656,34
1-8639;30545879138;SANATORIO MORRA S A;9031681;GA;Locación de obras y servicios;228;6896,45
1-8640;30545996991;CLINICA CHUTRO SRL;9031738;GA;Locación de obras y servicios;229;8546,33
1-8641;30546133865;CLINICA PRIVADA JESUS MARIA DR ANIBAL;9031777;GA;Locación de obras y servicios;230;2600,52
1-8644;30562336237;SANATORIO PARQUE S A;9031968;GA;Locación de obras y servicios;231;12137,22
1-8646;30574596951;CENTRO PRIVADO TOMOGRAFIA COMPUTADA;9032099;GA;Locación de obras y servicios;232;17316,56
1-8647;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;9032115;GA;Locación de obras y servicios;233;36695,35
1-8650;30608875227;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;9032262;GA;Locación de obras y servicios;235;125410,5
1-8651;30615571454;CLINICA PRIVADA DEL SOL S.A.;9032327;GA;Locación de obras y servicios;236;94503,11
1-8653;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;9033588;GA;Locación de obras y servicios;237;9866,97
1-8655;30642081183;ROENTGEN S A;9033785;GA;Locación de obras y servicios;239;10814,21
1-8658;30660567840;CLINICA PRIVADA DE LA CIUDAD SOC RESP;9033863;GA;Locación de obras y servicios;240;1839,11
1-8660;30677558888;PARQUE SALUD S A;9033885;GA;Locación de obras y servicios;241;1662,6
1-8663;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;9034297;GA;Locación de obras y servicios;243;61433,21
1-8664;30694300487;RESONANCIA MAGNETICA SRL;9034388;GA;Locación de obras y servicios;244;30398,47
1-8665;30698488677;L A C E SA;9034411;GA;Locación de obras y servicios;245;2705,48
1-8666;30703378222;UROLIT SA;9034453;GA;Locación de obras y servicios;246;19576,96
1-8667;30708237791;CLINICA PRIVADA DEAN FUNES S.R.L.;9034499;GA;Locación de obras y servicios;247;56109,73
1-8668;30708686499;AMPARAR S.R.L;9034553;GA;Locación de obras y servicios;248;75394,02
1-8669;30708890223;SALUD INTEGRAL SOCIEDAD ANONIMA;9034594;GA;Locación de obras y servicios;249;16895,42
1-8670;30708910208;EL JUNCO SERVICIOS SOCIALES SA;9034622;GA;Locación de obras y servicios;250;13731,14
1-8672;30709956880;SAN FRANCISCO SALUD-CONSORCIO DE;9035648;GA;Locación de obras y servicios;252;231909,13
1-8673;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;9035661;GA;Locación de obras y servicios;253;10235,0
1-8674;30714353493;CEMO S.A.;9035699;GA;Locación de obras y servicios;254;10310,55
1-8675;30715190253;CIDI S.A;9035724;GA;Locación de obras y servicios;255;32215,63
1-8676;30715347756;CENTRO MEDICO PRIVADO SAN ANDRES SRL;9035750;GA;Locación de obras y servicios;256;7980,1
1-8678;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;9035800;GA;Locación de obras y servicios;257;21174,82
1-8679;30716413256;VISOR PRO S.A.S.;9035816;GA;Locación de obras y servicios;258;1227,6
1-8680;30716784386;SOLBO S.A.S.;9035838;GA;Locación de obras y servicios;259;16455,89
1-8681;30682285431;CLINICA PRIVADA COAT S. R. L.;9035852;GA;Locación de obras y servicios;260;4344,1
1-8682;30717147835;ESTIX S.A.S.;9035888;GA;Locación de obras y servicios;261;8552,21
1-8684;33711273129;CLINICA PRIVADA SANTA MARIA S.A.;9035927;GA;Locación de obras y servicios;262;9639,37
1-8685;33716532629;EQUILIBRE SALUD S.A.S.;9035940;GA;Locación de obras y servicios;263;4707,68
1-8691;30596272165;CLINICA PRIVADA CARAFFA SRL;9037525;GA;Locación de obras y servicios;265;4062,6
1-8692;30645189988;SERVICIOS MEDICOS S R L;9037626;GA;Locación de obras y servicios;266;718493,44
1-8697;30709290866;GRUPO OPTICO SA;9044211;GA;Locación de obras y servicios;267;7549,08
1-8698;30689768861;;9044902;GA;Locación de obras y servicios;268;21312,42
1-8699;30698852441;IMAGENES S R L PRIVADO;9044948;GA;Locación de obras y servicios;269;2894,71
1-8704;30680565224;COSEME SA;9050205;GA;Locación de obras y servicios;270;19814,8
1-8363;30680565224;COSEME SA;8792127;GA;Locación de obras y servicios;188;4512,79
